status	grade	xm_bytes	t10p_bytes	firmware_bytes	xm_sha256	t10p_sha256	warnings	source_url	path	error
verified	approximate	22366	21453		c762dfccbda9aa9b0709e4b717fbba6d669d343a8fa6309add72e694f0566440	14c4e1ed78577e59ddf61fff521699eda05ef4a92dd2e9d663e19d76c799781f	1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 non-looped samples become 16 kHz PCM one-shots; 8 short loops become 16-point wavetables and sustain until cut; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/a642.mod	4-Mat/a642.mod	
verified	approximate	46806	32159		d02d8abea8d717cedb265bee5498d7a39c8e10cd91e14a7de38c1f57704d4031	c076a6b424c6a55fb238aae80b776743e348a5818b5e88d85025fc0978163c70	1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 non-looped samples become 16 kHz PCM one-shots; 2 short loops become 16-point wavetables and sustain until cut; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/ace%20ii.mod	4-Mat/ace ii.mod	
verified	approximate	17518	18459		e696cbc81f133c5df0cd6c52b5ddfaa88be3ed0f080aff0074ba1d33807e8a82	0f12b19bfeded0f5358cedef9eec4324bf99164cc21dd90dc8f8d84d6870cae1	14 vibrato-volume slides keep only the volume slide; 3 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 9 short loops become 16-point wavetables and sustain until cut; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/actionplatform.mod	4-Mat/actionplatform.mod	
verified	approximate	23954	21867		5bd25898a4540878e6525ffb2428953eee98f607b54b33f188d5c1d0e6788fcf	2300eb81585ce5219f7e769a43cd453374552be974d800d58f25e566d97364f2	1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 1 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/agony-loading%20highlands.mod	4-Mat/agony-loading highlands.mod	
verified	approximate	55326	33602		779d8508302cade0dee09255103d2c46297f1fae1783233a92bfafaaac35d87b	1f9ed04fa07e88b9ab743a8a8a1b53113ac91208edb19e083d0e3cbd5b874875	32 vibrato-volume slides keep only the volume slide; 1 Amiga LED filter commands are ignored; 5 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/agony-marshes.mod	4-Mat/agony-marshes.mod	
verified	approximate	15046	16875		9aa9a7fd84ac12c5cf1c4bf334bc0bd3761cba2385864c94b5b56de854632320	17f21f164b931c5f7eea14483ca1b771a298de9cdcee504a48b6a94f7c5f9ba2	5 vibrato-volume slides keep only the volume slide; 4 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 12 short loops become 16-point wavetables and sustain until cut; 4 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/amiga%20memories.mod	4-Mat/amiga memories.mod	
verified	approximate	14028	11957		ef55536db3ead9988a02cf6360d3fd73dd2043cd5400ff98f8335a8d2c39a2bb	5af9acaf78ce813d4e4bbeba51a53b8ccbb0931de945cdb62a4fb665d4b99dfe	7 vibrato-volume slides keep only the volume slide; 1 fine portamento commands are discarded; 3 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 13 short loops become 16-point wavetables and sustain until cut; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/amiga%2799.mod	4-Mat/amiga'99.mod	
verified	approximate	48906	33427		7c464136f57ac18a38664e8a3b040dd596e1d610b63bac15ead842231d758e63	6c8444c950f573c3f28955ad25da24f12b0de77ba02f7e5fe5dbecc4fa9a6ce1	193 vibrato-volume slides keep only the volume slide; 10 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 7 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/amiga1.mod	4-Mat/amiga1.mod	
verified	approximate	14636	15810		7f9ba58906d4097431fca0c591fc0f13889d3df77540c739d4b72f7dbdb3cfd6	ba1c78aa6874bd8d5af37a322391d3854638ee4b9b26914addf14d1f770e2a41	586 vibrato-volume slides keep only the volume slide; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 10 short loops become 16-point wavetables and sustain until cut; 1 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/anarchymenu%2001.mod	4-Mat/anarchymenu 01.mod	
verified	approximate	17118	15495		ddaa7983ea5835873b86be3177c42fafca7e035ccac2e03d37020269dc689c90	43588eeb98e61ab28463a4a5f2e910fd5ae45c0060fce3b0f8ba558e0238b4f9	119 vibrato-volume slides keep only the volume slide; 9 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 6 short loops become 16-point wavetables and sustain until cut; 4 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/anarchymenu%2002.mod	4-Mat/anarchymenu 02.mod	
verified	approximate	15350	12680		34a1d95049bbf6337c48c53955cb80de4142b8a777c9c6c8774f091ca52cf219	54ceadab678dff20743bb3186f899fef7a4c5949f371d635dea1386d3d0b00a9	407 vibrato-volume slides keep only the volume slide; 4 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 2 non-looped samples become 16 kHz PCM one-shots; 10 short loops become 16-point wavetables and sustain until cut; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/anarchymenu%2004.mod	4-Mat/anarchymenu 04.mod	
verified	approximate	8000	8862		c6b770669f8a5d8f2fb4ecae91f6759de045e6c1f513a8c05849bef8913a0cd0	42715a96eb21d2602b1228c90786944cc6eb18926a89e25980a3ed2a3d540b0b	230 vibrato-volume slides keep only the volume slide; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 2 non-looped samples become 16 kHz PCM one-shots; 11 short loops become 16-point wavetables and sustain until cut; 1 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/anarchymenu%2006.mod	4-Mat/anarchymenu 06.mod	
