status	grade	xm_bytes	t10p_bytes	firmware_bytes	xm_sha256	t10p_sha256	warnings	source_url	path	error
too-large	approximate	146528	111050	141283	cf36382f080470d5b465509e79017852a7186c432f9e95456eeef0b1a68b6451	92d1f72c0f26a041334db2c687d0247711e1524d9f312452da9d1be09314c606	4 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 9 non-looped samples become 16 kHz PCM one-shots; 8 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/06-11-90%20crosswind.mod	4-Mat/06-11-90 crosswind.mod	
too-large	approximate	117992	64616	94849	bd812e64ea325f256fd2d1868329ece5d5350bd1807ab2e2e34c07db75e3e476	ee8b6ef75df6955ac994238de2b6c4a58a0452e450f4368adc9d5c8851e0467a	24 vibrato-volume slides keep only the volume slide; 26 note-delay commands trigger at tick zero; 6 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 25 non-looped samples become 16 kHz PCM one-shots; 20 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/1978.mod	4-Mat/1978.mod	
too-large	approximate	115838	89583	119816	e0b3b0d767b5544d3f6264c7207e7bfa2bc149c18fcf68ca049add9e7341c398	96f908e1eed7243eba2a1328073380da1f26c252ddf3b231ab41a65be4a41162	5 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 9 non-looped samples become 16 kHz PCM one-shots; 2 short loops become 16-point wavetables and sustain until cut; 12 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/4-mat%27s%20madness.mod	4-Mat/4-mat's madness.mod	
too-large	approximate	88480	48982	79215	b9c92d2367f0c75838a658d936b17f3660eebbe3a6ccfd92165754fc103ecc78	9663302db647280d6162dbec56807b53f520f4a51f7998652a09511b64ba9403	1 Amiga LED filter commands are ignored; 2 set-volume commands above 64 are clamped; 2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 9 non-looped samples become 16 kHz PCM one-shots; 10 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/6beat.mod	4-Mat/6beat.mod	
too-large	approximate	203278	106581	136814	abecff05e02af76388b3e708a02b801029a58b6c31ce4e99cd18bfc4bffde3aa	7f594f08d7ef8fba9f2ffcf620ab2807bdecbf9363e6c5a075fa37c170583d60	4 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 11 non-looped samples become 16 kHz PCM one-shots; 13 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/a%20city%20at%20night.mod	4-Mat/a city at night.mod	
too-large	approximate	290270	185644	215877	c633a39b080d57d3d33899f534cb48ee5d109e6623c6e84e42c8876279936c6b	a19bb852b28d6ea557a781b809bd09db9b24756d2f6e87c69f4faa0f4a1ee6a5	123 vibrato-volume slides keep only the volume slide; 1 sample-offset commands start samples from the beginning; 1 note-delay commands trigger at tick zero; 27 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 21 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/a%20sixties%20theme.mod	4-Mat/a sixties theme.mod	
fit	approximate	22366	21453	51686	c762dfccbda9aa9b0709e4b717fbba6d669d343a8fa6309add72e694f0566440	14c4e1ed78577e59ddf61fff521699eda05ef4a92dd2e9d663e19d76c799781f	1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 non-looped samples become 16 kHz PCM one-shots; 8 short loops become 16-point wavetables and sustain until cut; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/a642.mod	4-Mat/a642.mod	
too-large	approximate	205464	140228	170461	44d724aa434df48f309f721d6ef0a52ba28682b281277edbcf06112f65c76282	5954f232e78ad40c7f3e99ebbc9dbc614b57c8ee1f88dd1b84922f9bfacbe6a0	256 vibrato-volume slides keep only the volume slide; 8 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 21 non-looped samples become 16 kHz PCM one-shots; 19 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/above%20my%20head.mod	4-Mat/above my head.mod	
fit	approximate	46806	32159	62392	d02d8abea8d717cedb265bee5498d7a39c8e10cd91e14a7de38c1f57704d4031	c076a6b424c6a55fb238aae80b776743e348a5818b5e88d85025fc0978163c70	1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 non-looped samples become 16 kHz PCM one-shots; 2 short loops become 16-point wavetables and sustain until cut; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/ace%20ii.mod	4-Mat/ace ii.mod	
fit	approximate	17518	18459	48692	e696cbc81f133c5df0cd6c52b5ddfaa88be3ed0f080aff0074ba1d33807e8a82	0f12b19bfeded0f5358cedef9eec4324bf99164cc21dd90dc8f8d84d6870cae1	14 vibrato-volume slides keep only the volume slide; 3 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 9 short loops become 16-point wavetables and sustain until cut; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/actionplatform.mod	4-Mat/actionplatform.mod	
too-large	approximate	121666	88865	119098	7f7568af57e110f97826da47adcfd2fcffd0658f11128ac8f15b24d204dbcf63	945dd013dc94ff99c9fa52aabcd7bf0543c7309e75564d413f009192836f3150	42 vibrato-volume slides keep only the volume slide; 4 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 3 non-looped samples become 16 kHz PCM one-shots; 7 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/agony-beginning.mod	4-Mat/agony-beginning.mod	
too-large	approximate	164058	92418	122651	e8619a8bce494a3c4c692376da44e21bba3a64649b9711fe0cd9eb3ae27d20c4	b5e1673da552e3e73a59ee1bd9b62f68d81895676aff400488282e43363f7a97	7 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/agony-game%20over.mod	4-Mat/agony-game over.mod	
too-large	approximate	48036	38793	69026	631c584fddc873e2c495a7acc0eece5868f948fa00d217b6f7b6264a172b96c2	636c7279526e78b75ebba9bcdd759dd2501d70fb4049e631e0e31614b5bb2aaa	75 vibrato-volume slides keep only the volume slide; 5 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 4 non-looped samples become 16 kHz PCM one-shots; 7 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/4-Mat/agony-highlands2.mod	4-Mat/agony-highlands2.mod	
