status	grade	xm_bytes	t10p_bytes	firmware_bytes	xm_sha256	t10p_sha256	warnings	source_url	path	error
verified	approximate	4070	1260		39e7c15a08a43dc6766ca69d195eac63b03c48686a48ad4d5fc424a9e009f112	384c74cf247de6d5960e51695c7a63ebae9e18236c2a14fd203a99cbfd194196	56 volume-column slides that share a main effect are discarded; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/arrrgghhh.xm	Cerror/arrrgghhh.xm	
verified	approximate	40633	17224		a68cd209eab3b568c34fe9368d45e3ef7bc44250f1aa37047596cbf606cadf74	80cdc9d680838e8480a62442ef494a868964f6d00431042e4535920beb07629f	enabled panning envelopes are not rendered; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/chicken%20run.xm	Cerror/chicken run.xm	
verified	approximate	29210	22425		3d697112ec08227cced69961628c397224b6b5596150782bcf160b8692e08261	30c9d7a967c337eb0d6ee9bb61c426aff68a1ec04653fd8c84c1f38341380870	376 vibrato-volume slides keep only the volume slide	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/cultureel%20uitje.xm	Cerror/cultureel uitje.xm	
verified	approximate	52519	29150		66d267b3f0c1856ff33a5dd9cefa37b4d2ec07d47643e539863e4b404dbb1ac2	cdf49488ebf8804ffa15363372397993071de42dced66f0a9ba1de67dfe7b1c3	enabled panning envelopes are not rendered; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/euphoria.xm	Cerror/euphoria.xm	
verified	approximate	31591	22055		fcd2cf8d7d45769ba874c8e2347f1c408c2d7c6ccc160c54556a0e5dcf1da0b0	1cba6cbfd7981af84747a231868eea96c8ae0f67a9bbf0120cd155238443c59a	140 vibrato-volume slides keep only the volume slide; 103 volume-column slides that share a main effect are discarded; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/fucked.xm	Cerror/fucked.xm	
verified	approximate	44407	18898		c2b0cd80223280e7aa53723cc70c08dd0a38c6943dfdb171cc75c68a5dbd983d	2cf40b42f901847aa9faf55938c838e279c966390643fb3931cb288fbff25e46	31 note-delay commands trigger at tick zero	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/happy%20mongol%21%20%28n-gen%2305%29.xm	Cerror/happy mongol! (n-gen#05).xm	
verified	approximate	36052	25235		f33b57ce314de08037e235a639a4fe72a4edc661c76a360d3c6748ec73fdd8f9	28880a3af14112484cee672b4cbc6992f2730935d7ef7587ca257a2517ab09ef	242 vibrato-volume slides keep only the volume slide; 19 volume-column slides that share a main effect are discarded; enabled panning envelopes are not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/jump%20nienke%21.xm	Cerror/jump nienke!.xm	
verified	approximate	27830	24772		8a343c889c0fa6a3677047f1f30d5141859b42cc5f9b1f1728f508e740396063	c462782e71410cf0180497b863bc0eb2d81805a82da94bbf3076d44b4aedb1c7	271 vibrato-volume slides keep only the volume slide; 36 volume-column slides that share a main effect are discarded	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/kwazy%20webbit%20hole.xm	Cerror/kwazy webbit hole.xm	
verified	approximate	15961	12607		8ab7692cf4fb2166167975431710685049bf33d78cb3b1bc392f742c4f36ede5	388b0307fba996862d61dbcf014d253e31c8acacf17561c8705730d516a41d4b	175 vibrato-volume slides keep only the volume slide	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/luna.xm	Cerror/luna.xm	
verified	approximate	20490	16738		b15864bfe21907e0960fc24faf9f6b342e8a9e0cc985c851817c199ca9b5e9a7	8ba109247a710b3daff110cf45d6afecbf5de254892daa96d2cf9e799c7aca97	instrument automatic vibrato is not rendered; 4 instrument-only cells use reduced Tracker10 semantics	https://ftp.modland.com/pub/modules/Fasttracker%202/Cerror/marco%20is%20nuts%21.xm	Cerror/marco is nuts!.xm	
